status,price,bed,bath,acre_lot,state,zip_code,house_size,sold_date,time_interval
for_sale,369000.0,4.0,2.0,0.08,New Hampshire,3301.0,2705.0,2020-01-02,0.0
for_sale,1888000.0,4.0,4.0,0.09,New York,11358.0,2900.0,2020-01-02,0.0
for_sale,369000.0,4.0,2.0,0.08,New Hampshire,3301.0,2705.0,2020-01-02,0.0
for_sale,129900.0,4.0,3.0,0.17,New Jersey,8215.0,2040.0,2020-01-02,0.0
for_sale,300000.0,4.0,3.0,0.49,Connecticut,6790.0,2128.0,2020-01-02,0.0
for_sale,320000.0,4.0,3.0,0.33,Connecticut,6516.0,2171.0,2020-01-02,0.0
for_sale,300000.0,4.0,3.0,0.49,Connecticut,6790.0,2128.0,2020-01-02,0.0
for_sale,129900.0,4.0,3.0,0.17,New Jersey,8215.0,2040.0,2020-01-02,0.0
for_sale,1888000.0,4.0,4.0,0.09,New York,11358.0,2900.0,2020-01-02,0.0
for_sale,300000.0,4.0,3.0,0.49,Connecticut,6790.0,2128.0,2020-01-02,0.0
for_sale,129900.0,4.0,3.0,0.17,New Jersey,8215.0,2040.0,2020-01-02,0.0
for_sale,349900.0,3.0,2.0,0.21,New Jersey,8515.0,1526.0,2020-01-02,0.0
for_sale,300000.0,4.0,3.0,0.49,Connecticut,6790.0,2128.0,2020-01-02,0.0
for_sale,1888000.0,4.0,4.0,0.09,New York,11358.0,2900.0,2020-01-02,0.0
for_sale,1888000.0,4.0,4.0,0.09,New York,11358.0,2900.0,2020-01-02,0.0
for_sale,300000.0,4.0,3.0,0.49,Connecticut,6790.0,2128.0,2020-01-02,0.0
for_sale,517500.0,5.0,4.0,0.22,New Jersey,8201.0,2732.0,2020-01-02,0.0
for_sale,320000.0,4.0,3.0,0.33,Connecticut,6516.0,2171.0,2020-01-02,0.0
for_sale,1888000.0,4.0,4.0,0.09,New York,11358.0,2900.0,2020-01-02,0.0
for_sale,349900.0,3.0,2.0,0.21,New Jersey,8515.0,1526.0,2020-01-02,0.0
for_sale,369000.0,4.0,2.0,0.08,New Hampshire,3301.0,2705.0,2020-01-02,0.0
for_sale,517500.0,5.0,4.0,0.22,New Jersey,8201.0,2732.0,2020-01-02,0.0
for_sale,1888000.0,4.0,4.0,0.09,New York,11358.0,2900.0,2020-01-02,0.0
for_sale,1888000.0,4.0,4.0,0.09,New York,11358.0,2900.0,2020-01-02,0.0
for_sale,369000.0,4.0,2.0,0.08,New Hampshire,3301.0,2705.0,2020-01-02,0.0
